,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,month,year,m2
1845084,2020-780374,2020-07-02,1,Vente,91100.0,3.0,,PL JEAN MONNET,0215,77144.0,77307,Montévrain,77,,,77307000ZA0120,,,40,23.7,,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,23.0,0.0,,,,,,2.770481,48.854926,7,2020,3960.8695652173915
1845089,2020-780377,2020-07-22,1,Vente,116688.0,19.0,,RTE DE PROVINS,0445,77144.0,77307,Montévrain,77,,,77307000ZA0231,,,34,28.6,,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,370.0,0.0,,,,,,2.761593,48.853232,7,2020,315.37297297297295
1845269,2020-780470,2020-07-06,1,Vente,380000.0,13.0,,CRS DU DANUBE,0057,77700.0,77449,Serris,77,,,77449000AC0105,,,1228,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.775601,48.855965,7,2020,
1845270,2020-780470,2020-07-06,1,Vente,380000.0,15.0,,CRS DU DANUBE,0057,77700.0,77449,Serris,77,,,77449000AC0105,,,1177,78.91,,,,,,,,,1,2.0,Appartement,79.0,4.0,,,,,,2.775601,48.855965,7,2020,4810.126582278481
1845271,2020-780470,2020-07-06,1,Vente,380000.0,13.0,,CRS DU DANUBE,0057,77700.0,77449,Serris,77,,,77449000AC0105,,,1337,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.775601,48.855965,7,2020,
1845293,2020-780482,2020-07-08,1,Vente,360000.0,7.0,,AV CHRISTIAN DOPPLER,0034,77700.0,77449,Serris,77,,,77449000AH0135,,,171,,,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,78.0,0.0,,,,,,2.795491,48.84094,7,2020,4615.384615384615
1845294,2020-780482,2020-07-08,1,Vente,360000.0,7.0,,AV CHRISTIAN DOPPLER,0034,77700.0,77449,Serris,77,,,77449000AH0135,,,172,,52,,,,,,,,2,4.0,Local industriel. commercial ou assimilé,262.0,0.0,,,,,,2.795491,48.84094,7,2020,1374.0458015267175
1845295,2020-780483,2020-07-20,1,Vente,260000.0,6.0,,RUE DE LA GALMY,0246,77700.0,77111,Chessy,77,,,77111000AL0064,,,1027,56.94,,,,,,,,,1,2.0,Appartement,57.0,3.0,,,,,,2.772307,48.856432,7,2020,4561.403508771929
1845296,2020-780483,2020-07-20,1,Vente,260000.0,9001.0,,RUE DE LA GALMY,0246,77700.0,77111,Chessy,77,,,77111000AL0064,,,1226,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.772307,48.856432,7,2020,
1845358,2020-780516,2020-07-30,1,Vente,166000.0,60.0,,RUE DU MOULIN A VENT,0105,77700.0,77268,Magny-le-Hongre,77,,,77268000AB0308,,,26,30.71,,,,,,,,,1,2.0,Appartement,29.0,2.0,,,,,,2.809717,48.867114,7,2020,5724.137931034483
