,id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_nom_voie,code_commune,nom_commune,nombre_lots,type_local,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,month,year,m2
2549539,2018-1069033,2018-01-03,Vente,175000.0,ALL DE DUBLIN,77307,Montévrain,1,Appartement,54.0,3.0,2.766132,48.854328,1,2018,
2549565,2018-1069046,2018-01-04,Vente,313057.0,CRS DU TAGE,77449,Serris,1,Appartement,76.0,4.0,2.786741,48.85467,1,2018,
2549574,2018-1069052,2018-01-11,Vente,131000.0,AV DE LA SOCIETE DES NATIONS,77307,Montévrain,1,Appartement,40.0,2.0,2.758432,48.866784,1,2018,
2549635,2018-1069086,2018-01-17,Vente,122000.0,RUE DU MOULIN A VENT,77268,Magny-le-Hongre,1,Appartement,26.0,1.0,2.813132,48.866175,1,2018,
2549637,2018-1069088,2018-01-08,Vente,92000.0,RUE DE LA CHARBONNIERE,77307,Montévrain,1,Appartement,20.0,1.0,2.76756,48.853979,1,2018,1672.7272727272727
2549655,2018-1069098,2018-01-11,Vente,288000.0,CRS DU TAGE,77449,Serris,1,Appartement,70.0,4.0,2.786741,48.85467,1,2018,
2549673,2018-1069104,2018-01-15,Vente,155050.0,CHE DES VERGERS,77111,Chessy,1,Appartement,38.0,2.0,2.765459,48.87795,1,2018,880.9659090909091
2549952,2018-1069225,2018-01-19,Vente,195000.0,AV DES FRENES,77307,Montévrain,1,Appartement,52.0,3.0,2.759956,48.871348,1,2018,1772.7272727272727
2550075,2018-1069291,2018-01-12,Vente,204000.0,RUE DES VENVOLLES,77018,Bailly-Romainvilliers,1,Appartement,55.0,3.0,2.820459,48.85012,1,2018,
2550229,2018-1069377,2018-01-26,Vente,206700.0,ESP DES GUINANDIERS,77018,Bailly-Romainvilliers,1,Appartement,55.0,3.0,2.815999,48.849182,1,2018,2431.764705882353
2550262,2018-1069395,2018-01-24,Vente,145000.0,RUE DE MAGNY,77018,Bailly-Romainvilliers,1,Appartement,35.0,2.0,2.820078,48.849716,1,2018,
2550306,2018-1069423,2018-01-30,Vente,206000.0,ESP DES GUINANDIERS,77018,Bailly-Romainvilliers,1,Appartement,51.0,3.0,2.815999,48.849182,1,2018,6058.823529411765
2550360,2018-1069450,2018-01-12,Vente,113000.0,RUE DE LA CHARBONNIERE,77307,Montévrain,1,Appartement,27.0,1.0,2.76756,48.853979,1,2018,
2550405,2018-1069475,2018-01-17,Vente,212000.0,RUE DES FERMES,77268,Magny-le-Hongre,1,Appartement,59.0,3.0,2.812748,48.865878,1,2018,
2550466,2018-1069504,2018-01-26,Vente,286527.78,AV DE LA SOCIETE DES NATIONS,77307,Montévrain,1,Appartement,93.0,5.0,2.760877,48.857906,1,2018,
2550564,2018-1069553,2018-02-02,Vente,142000.0,AV DE LA SOCIETE DES NATIONS,77307,Montévrain,1,Appartement,40.0,2.0,2.758432,48.866784,2,2018,
2550568,2018-1069555,2018-02-01,Vente,275000.0,RUE DE L EPINETTE,77268,Magny-le-Hongre,1,Appartement,80.0,4.0,2.81359,48.866809,2,2018,
2550610,2018-1069576,2018-01-12,Vente,286840.0,RUE DE BRUXELLES,77307,Montévrain,1,Appartement,77.0,4.0,2.763642,48.85586,1,2018,9252.90322580645
2550668,2018-1069610,2018-02-01,Vente,337500.0,RUE DE PRAGUE,77307,Montévrain,1,Appartement,77.0,4.0,2.76312,48.854849,2,2018,
2550729,2018-1069647,2018-02-13,Vente,255000.0,PASS DU FOUR,77111,Chessy,1,Appartement,61.0,3.0,2.768978,48.878094,2,2018,2897.7272727272725
2550796,2018-1069676,2018-02-14,Vente,84000.0,RUE D AMSTERDAM,77307,Montévrain,1,Appartement,22.0,1.0,2.76756,48.853979,2,2018,1615.3846153846155
2550902,2018-1069734,2018-01-26,Vente,245000.0,CRS DU DANUBE,77449,Serris,1,Appartement,62.0,3.0,2.784357,48.856868,1,2018,
2551089,2018-1069813,2018-01-30,Vente,82000.0,RUE DE LA CHARBONNIERE,77307,Montévrain,1,Appartement,22.0,1.0,2.76756,48.853979,1,2018,1640.0
2551090,2018-1069814,2018-01-30,Vente,100000.0,RUE DE LA CLE DES CHAMPS,77268,Magny-le-Hongre,1,Appartement,38.0,2.0,2.815862,48.867012,1,2018,2380.9523809523807
2551104,2018-1069821,2018-02-09,Vente,215000.0,AV DES FRENES,77307,Montévrain,1,Appartement,52.0,3.0,2.759956,48.871348,2,2018,2721.518987341772
2551133,2018-1069836,2018-02-06,Vente,210000.0,PL D AMILLY,77449,Serris,1,Appartement,60.0,3.0,2.787103,48.843547,2,2018,277.0448548812665
2551179,2018-1069862,2018-02-16,Vente,225000.0,CRS DU DANUBE,77449,Serris,1,Appartement,65.0,3.0,2.775601,48.855965,2,2018,
2551234,2018-1069885,2018-02-16,Vente,115000.0,ALL DE VARSOVIE,77307,Montévrain,1,Appartement,34.0,1.0,2.765754,48.855891,2,2018,891.4728682170543
2551265,2018-1069896,2018-02-07,Vente,247000.0,RUE DE VIENNE,77307,Montévrain,1,Appartement,58.0,3.0,2.7617,48.856367,2,2018,
2551270,2018-1069898,2018-02-09,Vente,218000.0,RUE DE COPENHAGUE,77307,Montévrain,2,Appartement,63.0,3.0,2.763297,48.856969,2,2018,
2551273,2018-1069900,2018-02-08,Vente,250000.0,CRS DE LA GARONNE,77449,Serris,1,Appartement,69.0,3.0,2.786107,48.855312,2,2018,
2551277,2018-1069901,2018-02-09,Vente,417000.0,RUE D ARIANE,77111,Chessy,1,Appartement,91.0,4.0,2.771584,48.858613,2,2018,
2551282,2018-1069904,2018-02-05,Vente,89000.0,RUE DE LA CHARBONNIERE,77307,Montévrain,1,Appartement,22.0,1.0,2.76756,48.853979,2,2018,
2551283,2018-1069905,2018-02-07,Vente,221800.0,RUE BOUCLE DES HESPERIDES,77268,Magny-le-Hongre,1,Appartement,64.0,3.0,2.812642,48.871563,2,2018,
2551287,2018-1069907,2018-02-01,Vente,185000.0,RUE DES FERMES,77111,Chessy,2,Appartement,47.0,2.0,2.76691,48.877187,2,2018,
