,id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_nom_voie,code_commune,nom_commune,nombre_lots,type_local,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,month,year,m2
1051207,2016-953106,2016-01-05,Vente,275000.0,RUE DE LA GALMY,77111,Chessy,1,Appartement,94.0,4.0,2.772108,48.855764,1,2016,2925.531914893617
1051274,2016-953151,2016-01-15,Vente,145000.0,RUE DE L EGLISE,77268,Magny-le-Hongre,1,Appartement,36.0,2.0,2.81236,48.865247,1,2016,4027.777777777778
1051292,2016-953160,2016-01-18,Vente,114000.0,RUE DES BERGES,77018,Bailly-Romainvilliers,1,Appartement,28.0,1.0,2.815766,48.849664,1,2016,4071.4285714285716
1051352,2016-953203,2016-01-04,Vente,176500.0,RUE DES BERGES,77018,Bailly-Romainvilliers,1,Appartement,56.0,3.0,2.815766,48.849664,1,2016,3151.785714285714
1051357,2016-953207,2016-01-18,Vente,180000.0,RUE DU MANOIR,77268,Magny-le-Hongre,1,Appartement,39.0,3.0,2.818006,48.869149,1,2016,4615.384615384615
1051422,2016-953256,2016-01-04,Vente,307900.0,RUE DE BRUXELLES,77307,Montévrain,1,Appartement,83.0,3.0,2.764785,48.85566,1,2016,3709.6385542168673
1051433,2016-953263,2016-01-08,Vente,174000.0,RUE DE LA FONTAINE ROUGE,77111,Chessy,1,Appartement,46.0,2.0,2.773342,48.855841,1,2016,3782.608695652174
1051439,2016-953268,2016-01-08,Vente,148000.0,RUE DES FERMES,77111,Chessy,2,Appartement,45.0,2.0,2.76691,48.877187,1,2016,3288.8888888888887
1051440,2016-953269,2016-01-07,Vente,172500.0,RUE DE BRUXELLES,77307,Montévrain,1,Appartement,46.0,2.0,2.761705,48.854971,1,2016,3750.0
1051473,2016-953289,2016-01-08,Vente,160000.0,RUE DES GRANDS PRES,77111,Chessy,1,Appartement,80.0,0.0,2.775748,48.857991,1,2016,2000.0
1051514,2016-953319,2016-01-11,Vente,172000.0,RUE DE LA HOUE,77268,Magny-le-Hongre,1,Appartement,46.0,2.0,2.813857,48.871427,1,2016,3739.1304347826085
1051530,2016-953331,2016-01-15,Vente,137126.0,RUE DE LA BOISERIE,77268,Magny-le-Hongre,1,Appartement,19.0,1.0,2.820674,48.862311,1,2016,7217.1578947368425
1051549,2016-953345,2016-01-05,Vente,255000.0,CRS DU DANUBE,77449,Serris,1,Appartement,81.0,4.0,2.775601,48.855965,1,2016,3148.1481481481483
1051552,2016-953346,2016-01-15,Vente,225000.0,RUE DE L EPINETTE,77268,Magny-le-Hongre,1,Appartement,60.0,3.0,2.815647,48.86949,1,2016,3750.0
1051582,2016-953372,2016-01-14,Vente,237000.0,CRS DU TAGE,77449,Serris,2,Appartement,60.0,3.0,2.78621,48.852987,1,2016,3950.0
1051584,2016-953373,2016-01-11,Vente,195000.0,AV DES FRENES,77307,Montévrain,3,Appartement,70.0,3.0,2.761009,48.871225,1,2016,2785.714285714286
1051612,2016-953392,2016-01-18,Vente,190000.0,RUE DE LA FONTAINE ROUGE,77111,Chessy,1,Appartement,68.0,3.0,2.773342,48.855841,1,2016,2794.1176470588234
1051671,2016-953426,2016-01-19,Vente,162980.0,RUE DE LA BOISERIE,77268,Magny-le-Hongre,1,Appartement,23.0,1.0,2.820674,48.862311,1,2016,7086.086956521739
1051672,2016-953428,2016-01-13,Vente,164242.0,RUE DE LA BOISERIE,77268,Magny-le-Hongre,1,Appartement,23.0,1.0,2.820674,48.862311,1,2016,7140.95652173913
1051677,2016-953430,2016-01-14,Vente,162980.0,RUE DE LA BOISERIE,77268,Magny-le-Hongre,1,Appartement,23.0,1.0,2.820674,48.862311,1,2016,7086.086956521739
1051678,2016-953431,2016-01-12,Vente,134025.0,RUE DE LA BOISERIE,77268,Magny-le-Hongre,1,Appartement,19.0,1.0,2.820674,48.862311,1,2016,7053.9473684210525
1051681,2016-953433,2016-01-12,Vente,162980.0,RUE DE LA BOISERIE,77268,Magny-le-Hongre,1,Appartement,23.0,1.0,2.820674,48.862311,1,2016,7086.086956521739
1051711,2016-953452,2016-01-27,Vente,138000.0,RUE DE L EPINETTE,77268,Magny-le-Hongre,1,Appartement,43.0,2.0,2.81359,48.866809,1,2016,3209.3023255813955
