,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,month,year,m2
2677225,2019-1118457,2019-01-11,1,Vente,245000.0,10.0,,RUE DES MESANGES,0660,77450.0,77315,Montry,77,,,773150000C0359,,,,,,,,,,,,,0,1.0,Maison,65.0,3.0,S,sols,,,344.0,2.828319,48.882397,1,2019,3769.230769230769
2677743,2019-1118700,2019-01-25,1,Vente,250000.0,27.0,,RUE DE TOURAINE,1040,77450.0,77315,Montry,77,,,773150000C0510,,,,,,,,,,,,,0,1.0,Maison,66.0,4.0,S,sols,,,429.0,2.82998,48.881246,1,2019,3787.878787878788
2680846,2019-1119896,2019-05-31,1,Vente,250000.0,19.0,,RUE DES HIRONDELLES,0520,77450.0,77315,Montry,77,,,773150000C0326,,,,,,,,,,,,,0,1.0,Maison,84.0,5.0,S,sols,,,752.0,2.827007,48.882192,5,2019,2976.190476190476
2681969,2019-1120304,2019-06-26,1,Vente,248000.0,3.0,,RUE D AQUITAINE,0070,77450.0,77315,Montry,77,,,773150000C0522,,,,,,,,,,,,,0,1.0,Maison,67.0,4.0,S,sols,,,455.0,2.829297,48.882213,6,2019,3701.492537313433
2682918,2019-1120705,2019-07-11,1,Vente,352000.0,1.0,,SQ DE CHAMPAGNE,0219,77450.0,77315,Montry,77,,,773150000C0496,,,,,,,,,,,,,0,1.0,Maison,98.0,5.0,S,sols,,,540.0,2.832564,48.882156,7,2019,3591.8367346938776
2686608,2019-1122270,2019-11-15,1,Vente,216000.0,13.0,,RUE DE TOURAINE,1040,77450.0,77315,Montry,77,,,773150000C0502,,,,,,,,,,,,,0,1.0,Maison,81.0,5.0,S,sols,,,455.0,2.831597,48.881618,11,2019,2666.6666666666665
2686816,2019-1122346,2019-11-07,1,Vente,265000.0,9.0,,RUE DES PINSONS,0920,77450.0,77315,Montry,77,,,773150000C0337,,,,,,,,,,,,,0,1.0,Maison,84.0,5.0,S,sols,,,453.0,2.827551,48.880988,11,2019,3154.7619047619046
2687063,2019-1122442,2019-11-28,1,Vente,383000.0,14.0,,RUE DE TOURAINE,1040,77450.0,77315,Montry,77,,,773150000C0539,,,,,,,,,,,,,0,1.0,Maison,73.0,4.0,S,sols,,,559.0,2.830892,48.881793,11,2019,5246.575342465753
2698549,2019-1126921,2019-01-03,1,Vente,478000.0,48.0,,RUE DES TOURNELLES,0591,77700.0,77111,Chessy,77,,,77111000YA0468,,,,,,,,,,,,,0,1.0,Maison,138.0,6.0,S,sols,,,495.0,2.772541,48.878312,1,2019,3463.768115942029
2698555,2019-1126925,2019-01-09,1,Vente,152100.0,8.0,,BD DE LA MARSANGE,0130,77700.0,77018,Bailly-Romainvilliers,77,,,77018000AB0358,,,3103,45.85,,,,,,,,,1,2.0,Appartement,45.0,2.0,,,,,,2.818068,48.844633,1,2019,3380.0
