,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,month,year,m2
2529155,2018-1060951,2018-01-25,1,Vente,270000.0,33.0,,RUE DE TOURAINE,1040,77450.0,77315,Montry,77,,,773150000C0513,,,,,,,,,,,,,0,1.0,Maison,66.0,4.0,S,sols,,,496.0,2.829155,48.881168,1,2018,4090.909090909091
2530506,2018-1061531,2018-01-23,1,Vente,,17.0,,RUE DES HIRONDELLES,0520,77450.0,77315,Montry,77,,,773150000C0327,,,,,,,,,,,,,0,1.0,Maison,84.0,5.0,S,sols,,,744.0,2.827147,48.882353,1,2018,
2533657,2018-1062793,2018-07-06,1,Vente,364000.0,43.0,B,CHE DE SAINT MAUR,1010,77450.0,77315,Montry,77,,,77315000ZB0068,,,,,,,,,,,,,0,1.0,Maison,96.0,5.0,S,sols,,,500.0,2.830565,48.880713,7,2018,3791.6666666666665
2533658,2018-1062793,2018-07-06,1,Vente,364000.0,43.0,B,CHE DE SAINT MAUR,1010,77450.0,77315,Montry,77,,,77315000ZB0068,,,,,,,,,,,,,0,1.0,Maison,96.0,5.0,AG,terrains d'agrément,PARC,Parc,1432.0,2.830565,48.880713,7,2018,3791.6666666666665
2549538,2018-1069033,2018-01-03,1,Vente,175000.0,8.0,B,ALL DE DUBLIN,0135,77144.0,77307,Montévrain,77,,,77307000ZA0115,,,151,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.766132,48.854328,1,2018,
2549539,2018-1069033,2018-01-03,1,Vente,175000.0,8.0,,ALL DE DUBLIN,0135,77144.0,77307,Montévrain,77,,,77307000ZA0115,,,40,53.9,,,,,,,,,1,2.0,Appartement,54.0,3.0,,,,,,2.766132,48.854328,1,2018,3240.740740740741
2549552,2018-1069040,2018-01-08,1,Vente en l'état futur d'achèvement,313000.0,16.0,,AV DE L EUROPE,0147,77144.0,77307,Montévrain,77,,,77307000ZA0298,,,161,,,,,,,,,,1,2.0,Appartement,77.0,4.0,,,,,,2.765703,48.852926,1,2018,4064.935064935065
2549553,2018-1069040,2018-01-08,1,Vente en l'état futur d'achèvement,313000.0,16.0,,AV DE L EUROPE,0147,77144.0,77307,Montévrain,77,,,77307000ZA0298,,,169,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.765703,48.852926,1,2018,
2549554,2018-1069040,2018-01-08,1,Vente en l'état futur d'achèvement,313000.0,16.0,,AV DE L EUROPE,0147,77144.0,77307,Montévrain,77,,,77307000ZA0298,,,168,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.765703,48.852926,1,2018,
2549562,2018-1069046,2018-01-04,1,Vente,313057.0,9002.0,,CRS DU TAGE,0257,77700.0,77449,Serris,77,,,77449000AC0247,,,112,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.786741,48.85467,1,2018,
