,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,month,year,m2
2567240,2017-1071513,2017-01-13,1,Vente,276000.0,8.0,,RUE DES MESANGES,0660,77450.0,77315,Montry,77,,,773150000C0358,,,,,,,,,,,,,0,1.0,Maison,98.0,5.0,S,sols,,,433.0,2.828233,48.882237,1,2017,2816.326530612245
2568583,2017-1072112,2017-04-11,1,Vente,270000.0,12.0,,RUE D ANJOU,0060,77450.0,77315,Montry,77,,,773150000C0527,,,,,,,,,,,,,0,1.0,Maison,68.0,4.0,S,sols,,,472.0,2.829551,48.881801,4,2017,3970.5882352941176
2569025,2017-1072264,2017-04-27,1,Vente,242000.0,12.0,,RUE DES PINSONS,0920,77450.0,77315,Montry,77,,,773150000C0348,,,,,,,,,,,,,0,1.0,Maison,73.0,3.0,S,sols,,,410.0,2.827243,48.881636,4,2017,3315.068493150685
2569500,2017-1072444,2017-04-26,1,Vente,314000.0,43.0,A,CHE DE SAINT MAUR,1010,77450.0,77315,Montry,77,,,77315000ZB0016,,,,,,,,,,,,,0,1.0,Maison,98.0,4.0,S,sols,,,500.0,2.830015,48.880908,4,2017,3204.081632653061
2569501,2017-1072444,2017-04-26,1,Vente,314000.0,43.0,A,CHE DE SAINT MAUR,1010,77450.0,77315,Montry,77,,,77315000ZB0016,,,,,,,,,,,,,0,1.0,Maison,98.0,4.0,VE,vergers,HTIGE,Verger exploite en hautes tiges,1185.0,2.830015,48.880908,4,2017,3204.081632653061
2569610,2017-1072478,2017-04-28,1,Vente,314350.0,7.0,,ALL DU BEARN,0100,77450.0,77315,Montry,77,,,773150000C0547,,,,,,,,,,,,,0,1.0,Maison,71.0,4.0,S,sols,,,500.0,2.831437,48.882169,4,2017,4427.4647887323945
2572618,2017-1073682,2017-07-31,1,Vente,270000.0,25.0,,RUE DE TOURAINE,1040,77450.0,77315,Montry,77,,,773150000C0509,,,,,,,,,,,,,0,1.0,Maison,82.0,5.0,S,sols,,,443.0,2.830229,48.881268,7,2017,3292.682926829268
2572990,2017-1073842,2017-08-10,1,Vente,400000.0,43.0,C,CHE DE SAINT MAUR,1010,77450.0,77315,Montry,77,,,77315000ZB0018,,,,,,,,,,,,,0,1.0,Maison,165.0,6.0,VE,vergers,HTIGE,Verger exploite en hautes tiges,3559.0,2.831432,48.880234,8,2017,2424.242424242424
2572991,2017-1073842,2017-08-10,1,Vente,400000.0,43.0,C,CHE DE SAINT MAUR,1010,77450.0,77315,Montry,77,,,77315000ZB0018,,,,,,,,,,,,,0,1.0,Maison,165.0,6.0,S,sols,,,500.0,2.831432,48.880234,8,2017,2424.242424242424
2573436,2017-1074020,2017-09-15,1,Vente,263000.0,3.0,B,ALL DES BRETONS,0160,77450.0,77315,Montry,77,,,773150000C0558,,,,,,,,,,,,,0,1.0,Maison,72.0,4.0,S,sols,,,402.0,2.830459,48.882223,9,2017,3652.777777777778
