,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,month,year,m2
2232042,2016-945751,2016-01-28,1,Vente,245000.0,23.0,,RUE DES HIRONDELLES,0520,77450.0,77315,Montry,77,,,773150000C0324,,,,,,,,,,,,,0,1.0,Maison,75.0,4.0,S,sols,,,685.0,2.826796,48.881893,1,2016,3266.6666666666665
2234464,2016-946818,2016-05-30,1,Vente,308000.0,38.0,,AV DU 27 AOUT,1100,77450.0,77315,Montry,77,,,773150000C0648,,,,,,,,,,,,,0,1.0,Maison,110.0,5.0,S,sols,,,500.0,2.8234,48.882017,5,2016,2800.0
2234465,2016-946818,2016-05-30,1,Vente,308000.0,38.0,,AV DU 27 AOUT,1100,77450.0,77315,Montry,77,,,773150000C0648,,,,,,,,,,,,,0,1.0,Maison,110.0,5.0,AG,terrains d'agrément,PARC,Parc,269.0,2.8234,48.882017,5,2016,2800.0
2237254,2016-948028,2016-09-27,1,Vente,227000.0,4.0,,RUE DES FAUVETTES,0400,77450.0,77315,Montry,77,,,773150000C0353,,,,,,,,,,,,,0,1.0,Maison,75.0,4.0,S,sols,,,413.0,2.82799,48.881833,9,2016,3026.6666666666665
2237656,2016-948223,2016-09-30,1,Vente,236400.0,1.0,,RUE DES PINSONS,0920,77450.0,77315,Montry,77,,,773150000C0341,,,,,,,,,,,,,0,1.0,Maison,75.0,4.0,S,sols,,,445.0,2.828212,48.881348,9,2016,3152.0
2250556,2016-953106,2016-01-05,1,Vente,275000.0,9002.0,,RUE DE LA GALMY,0246,77700.0,77111,Chessy,77,,,77111000AL0118,,,59,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.772108,48.855764,1,2016,
2250557,2016-953106,2016-01-05,1,Vente,275000.0,8.0,,RUE DE LA GALMY,0246,77700.0,77111,Chessy,77,,,77111000AL0118,,,19,94.18,,,,,,,,,1,2.0,Appartement,94.0,4.0,,,,,,2.772108,48.855764,1,2016,2925.531914893617
2250558,2016-953106,2016-01-05,1,Vente,275000.0,9002.0,,RUE DE LA GALMY,0246,77700.0,77111,Chessy,77,,,77111000AL0118,,,60,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.772108,48.855764,1,2016,
2250569,2016-953113,2016-01-11,1,Vente,273000.0,9001.0,,RUE DES FERMES,0200,77700.0,77111,Chessy,77,,,77111000AH0128,,,114,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.76691,48.877187,1,2016,
2250570,2016-953113,2016-01-11,1,Vente,273000.0,34.0,,RUE DES FERMES,0200,77700.0,77111,Chessy,77,,,77111000AH0128,,,52,92.82,,,,,,,,,1,1.0,Maison,92.0,4.0,,,,,,2.76691,48.877187,1,2016,2967.391304347826
