,id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_nom_voie,code_commune,nom_commune,nombre_lots,type_local,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,month,year,m2
881269,2020-775303,2020-01-08,Vente,232500.0,AV DES FRENES,77307,Montévrain,1.0,Appartement,62.0,3.0,2.759956,48.871348,1,2020,3750.0
881275,2020-775306,2020-01-08,Vente,198000.0,AV DES FRENES,77307,Montévrain,2.0,Appartement,46.0,2.0,2.761009,48.871225,1,2020,4304.347826086957
881279,2020-775307,2020-01-06,Vente,573000.0,CRS DU TAGE,77449,Serris,1.0,Appartement,111.0,5.0,2.787668,48.853321,1,2020,5162.1621621621625
881312,2020-775329,2020-01-13,Vente,333000.0,CRS DE L ELBE,77449,Serris,1.0,Appartement,65.0,3.0,2.784357,48.856868,1,2020,5123.076923076923
881314,2020-775331,2020-01-13,Vente,161000.0,COUR DE LA FORGE,77449,Serris,1.0,Appartement,38.0,2.0,2.789096,48.843444,1,2020,4236.8421052631575
881326,2020-775343,2020-01-09,Vente,224000.0,RUE DE L EGLISE,77268,Magny-le-Hongre,1.0,Appartement,53.0,3.0,2.81236,48.865247,1,2020,4226.415094339623
881337,2020-775352,2020-01-10,Vente,223000.0,AV DES FRENES,77307,Montévrain,1.0,Appartement,65.0,3.0,2.759956,48.871348,1,2020,3430.769230769231
881340,2020-775354,2020-01-09,Vente,357500.0,CRS DE L ELBE,77449,Serris,1.0,Appartement,79.0,4.0,2.785284,48.857334,1,2020,4525.316455696203
881354,2020-775365,2020-01-09,Vente,222000.0,PL D AMILLY,77449,Serris,1.0,Appartement,66.0,3.0,2.787103,48.843547,1,2020,3363.6363636363635
881390,2020-775391,2020-01-06,Vente,189000.0,RUE DE LA CHARBONNIERE,77307,Montévrain,1.0,Appartement,40.0,1.0,2.76756,48.853979,1,2020,4725.0
881400,2020-775396,2020-01-09,Vente,194000.0,CRS DU DANUBE,77449,Serris,1.0,Appartement,51.0,3.0,2.78639,48.855954,1,2020,3803.921568627451
881402,2020-775397,2020-01-10,Vente,264000.0,RUE DE BRUXELLES,77307,Montévrain,1.0,Appartement,61.0,3.0,2.762698,48.855472,1,2020,4327.868852459016
881408,2020-775399,2020-01-09,Vente,158906.0,CRS DU DANUBE,77449,Serris,1.0,Appartement,43.0,2.0,2.78639,48.855954,1,2020,3695.4883720930234
881432,2020-775424,2020-01-10,Vente,225000.0,RUE DE LA CHARBONNIERE,77307,Montévrain,1.0,Appartement,63.0,3.0,2.765754,48.855891,1,2020,3571.4285714285716
881450,2020-775437,2020-01-16,Vente,305200.0,RUE DE PRAGUE,77307,Montévrain,1.0,Appartement,83.0,4.0,2.76312,48.854849,1,2020,3677.10843373494
881500,2020-775479,2020-01-20,Vente,240000.0,RUE DE L EPINETTE,77268,Magny-le-Hongre,1.0,Appartement,59.0,3.0,2.814431,48.865729,1,2020,4067.7966101694915
881516,2020-775491,2020-01-03,Vente,220000.0,CRS DE LA GARONNE,77449,Serris,1.0,Appartement,46.0,2.0,2.786107,48.855312,1,2020,4782.608695652174
