,id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_nom_voie,code_commune,nom_commune,nombre_lots,type_local,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,month,year,m2
2586517,2017-1079347,2017-01-04,Vente,243000.0,CRS DU TAGE,77449,Serris,1,Appartement,69.0,3.0,2.786741,48.85467,1,2017,2382.3529411764707
2586606,2017-1079403,2017-01-06,Vente,218900.0,ALL DE ZURICH,77307,Montévrain,1,Appartement,58.0,3.0,2.764325,48.856141,1,2017,3367.6923076923076
2586609,2017-1079404,2017-01-09,Vente,280000.0,RUE DES SCANDINAVES,77449,Serris,1,Appartement,63.0,3.0,2.787996,48.858659,1,2017,
2586696,2017-1079450,2017-01-04,Vente,167000.0,RUE DE BRUXELLES,77307,Montévrain,1,Appartement,40.0,2.0,2.763642,48.85586,1,2017,549.3421052631579
2586815,2017-1079498,2017-01-13,Vente,237000.0,RUE DES MARNONS,77018,Bailly-Romainvilliers,1,Appartement,75.0,4.0,2.817017,48.848227,1,2017,
2586822,2017-1079502,2017-01-16,Vente,168675.0,RUE DE PARIS,77018,Bailly-Romainvilliers,1,Appartement,46.0,2.0,2.81983,48.845924,1,2017,2908.189655172414
2586895,2017-1079535,2017-01-10,Vente,127000.0,CRS DU DANUBE,77449,Serris,1,Appartement,27.0,2.0,2.78639,48.855954,1,2017,
2586931,2017-1079553,2017-01-05,Vente,142032.0,RUE DE LA BOISERIE,77268,Magny-le-Hongre,1,Appartement,19.0,1.0,2.820674,48.862311,1,2017,
2586970,2017-1079571,2017-01-26,Vente,242000.0,RUE DU COCHET,77018,Bailly-Romainvilliers,1,Appartement,76.0,4.0,2.827091,48.853814,1,2017,
2586974,2017-1079574,2017-01-03,Vente,164152.0,RUE DE LA BOISERIE,77268,Magny-le-Hongre,1,Appartement,23.0,1.0,2.820674,48.862311,1,2017,
2587097,2017-1079644,2017-01-19,Vente,329716.0,RUE DE LA BOISERIE,77268,Magny-le-Hongre,1,Appartement,23.0,1.0,2.820674,48.862311,1,2017,3297.16
2587099,2017-1079644,2017-01-19,Vente,329716.0,RUE DE LA BOISERIE,77268,Magny-le-Hongre,1,Appartement,23.0,1.0,2.820674,48.862311,1,2017,
2587139,2017-1079665,2017-01-25,Vente,180000.0,CHE DES VERGERS,77111,Chessy,2,Appartement,67.0,3.0,2.765859,48.876907,1,2017,3103.448275862069
2587179,2017-1079687,2017-01-31,Vente,142600.0,AV DES FRENES,77307,Montévrain,1,Appartement,36.0,2.0,2.759956,48.871348,1,2017,
2587226,2017-1079715,2017-01-18,Vente,157900.0,RUE DES FERMES,77268,Magny-le-Hongre,1,Appartement,41.0,2.0,2.812748,48.865878,1,2017,
2587253,2017-1079731,2017-01-16,Vente,132332.0,RUE DE LA BOISERIE,77268,Magny-le-Hongre,1,Appartement,19.0,1.0,2.820674,48.862311,1,2017,1837.9444444444443
2587254,2017-1079732,2017-01-10,Vente,134025.0,RUE DE LA BOISERIE,77268,Magny-le-Hongre,1,Appartement,19.0,1.0,2.820674,48.862311,1,2017,
2587267,2017-1079739,2017-01-13,Vente,129000.0,RUE DE LA CHARBONNIERE,77307,Montévrain,1,Appartement,34.0,3.0,2.76756,48.853979,1,2017,
2587295,2017-1079753,2017-01-10,Vente,137900.0,RUE DE COPENHAGUE,77307,Montévrain,1,Appartement,40.0,2.0,2.763732,48.858075,1,2017,
2587299,2017-1079755,2017-01-25,Vente,139000.0,CRS DE LA GARONNE,77449,Serris,1,Appartement,35.0,2.0,2.786107,48.855312,1,2017,
2587306,2017-1079759,2017-01-27,Vente,168000.0,RUE DES FERMES,77268,Magny-le-Hongre,1,Appartement,44.0,2.0,2.812748,48.865878,1,2017,
2587399,2017-1079808,2017-02-01,Vente,200000.0,BD DU CHAMP DU MOULIN,77449,Serris,1,Appartement,61.0,3.0,2.787261,48.848767,2,2017,
2587404,2017-1079810,2017-01-27,Vente,160000.0,CRS DE L ELBE,77449,Serris,1,Appartement,37.0,2.0,2.786552,48.857418,1,2017,
2587499,2017-1079853,2017-01-26,Vente,221200.0,RUE DE LA DHUIS,77111,Chessy,2,Appartement,59.0,3.0,2.764777,48.88089,1,2017,
2587503,2017-1079855,2017-01-24,Vente,215000.0,RUE EMILE CLOUD,77449,Serris,1,Appartement,66.0,3.0,2.786353,48.848775,1,2017,
2587556,2017-1079880,2017-01-10,Vente,136913.0,RUE DE LA BOISERIE,77268,Magny-le-Hongre,1,Appartement,19.0,1.0,2.820674,48.862311,1,2017,3259.8333333333335
2587572,2017-1079891,2017-01-18,Vente,239860.0,RUE DES LABOURS,77268,Magny-le-Hongre,1,Appartement,59.0,3.0,2.812642,48.871563,1,2017,2398.6
2587573,2017-1079892,2017-01-19,Vente,296000.0,RUE DE VIENNE,77307,Montévrain,1,Appartement,88.0,4.0,2.7617,48.856367,1,2017,3325.8426966292136
2587585,2017-1079899,2017-01-19,Vente,140000.0,ALL DE DUBLIN,77307,Montévrain,1,Appartement,29.0,1.0,2.764576,48.853552,1,2017,
2587724,2017-1079964,2017-01-16,Vente,208000.0,RUE BOUCLE DES HESPERIDES,77268,Magny-le-Hongre,1,Appartement,55.0,3.0,2.812642,48.871563,1,2017,3409.8360655737706
2587819,2017-1080018,2017-01-27,Vente,168000.0,BD DU CHAMP DU MOULIN,77449,Serris,1,Appartement,50.0,2.0,2.786353,48.848775,1,2017,3428.5714285714284
2587858,2017-1080036,2017-01-27,Vente,177000.0,RUE DE L EPINETTE,77268,Magny-le-Hongre,1,Appartement,43.0,2.0,2.815136,48.870075,1,2017,1770.0
2587865,2017-1080039,2017-01-26,Vente,223000.0,BD DE LA MARSANGE,77018,Bailly-Romainvilliers,1,Appartement,65.0,3.0,2.818068,48.844633,1,2017,3716.6666666666665
2587867,2017-1080040,2017-01-26,Vente,227000.0,RUE DE PRAGUE,77307,Montévrain,1,Appartement,64.0,3.0,2.7628,48.853901,1,2017,
2587886,2017-1080052,2017-02-07,Vente,270000.0,RUE DES BERGES,77018,Bailly-Romainvilliers,1,Appartement,108.0,2.0,2.81881,48.850354,2,2017,6750.0
2587908,2017-1080063,2017-01-25,Vente,156000.0,RUE DU BOIS DE PARIS,77111,Chessy,2,Appartement,30.0,1.0,2.774476,48.857538,1,2017,
2587942,2017-1080079,2017-02-16,Vente,348000.0,RUE DES BEUYOTTES,77018,Bailly-Romainvilliers,1,Appartement,108.0,4.0,2.823393,48.853126,2,2017,
