,id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_nom_voie,code_commune,nom_commune,nombre_lots,type_local,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,month,year,m2
2705126,2019-1130060,2019-04-16,Vente,214000.0,RUE DE LA CHARBONNIERE,77307,Montévrain,2,Appartement,51.0,3.0,2.766796,48.854878,4,2019,4196.078431372549
2705202,2019-1130101,2019-04-05,Vente,405500.0,RUE DE MAGELLAN,77449,Serris,1,Appartement,98.0,5.0,2.787538,48.853941,4,2019,4137.755102040816
2705367,2019-1130144,2019-04-01,Vente,119150.0,RUE DE LA CHARBONNIERE,77307,Montévrain,1,Appartement,34.0,3.0,2.76756,48.853979,4,2019,3504.4117647058824
2705473,2019-1130202,2019-04-25,Vente,324000.0,RUE DE COPENHAGUE,77307,Montévrain,1,Appartement,77.0,4.0,2.763732,48.858075,4,2019,4207.792207792208
2705533,2019-1130239,2019-04-29,Vente,265000.0,RUE DE LA GALMY,77111,Chessy,1,Appartement,66.0,3.0,2.772307,48.856432,4,2019,4015.151515151515
2705653,2019-1130297,2019-05-03,Vente,162000.0,RUE DES LABOURS,77268,Magny-le-Hongre,1,Appartement,38.0,2.0,2.812858,48.870326,5,2019,4263.1578947368425
2705662,2019-1130302,2019-04-12,Vente,152000.0,RUE DE LA FONTAINE ROUGE,77111,Chessy,1,Appartement,25.0,1.0,2.772307,48.856432,4,2019,6080.0
2705779,2019-1130362,2019-04-15,Vente,87000.0,RUE D AMSTERDAM,77307,Montévrain,1,Appartement,21.0,1.0,2.76756,48.853979,4,2019,4142.857142857143
2705783,2019-1130365,2019-04-18,Vente,100000.0,RUE D AMSTERDAM,77307,Montévrain,1,Appartement,22.0,1.0,2.76756,48.853979,4,2019,4545.454545454545
2705788,2019-1130367,2019-04-19,Vente,273100.0,RUE DE BRUXELLES,77307,Montévrain,1,Appartement,89.0,5.0,2.76312,48.854849,4,2019,3068.5393258426966
2705852,2019-1130400,2019-04-30,Vente,339000.0,CRS DE LA GARONNE,77449,Serris,2,Appartement,64.0,3.0,2.78621,48.852987,4,2019,5296.875
2705915,2019-1130437,2019-04-26,Vente,308000.0,PASS DU VIEUX CHENE,77111,Chessy,1,Appartement,65.0,3.0,2.761562,48.877172,4,2019,4738.461538461538
2705918,2019-1130438,2019-04-26,Vente,280000.0,RUE DE LA HOUE,77268,Magny-le-Hongre,1,Appartement,62.0,3.0,2.813762,48.870283,4,2019,4516.129032258064
2705936,2019-1130450,2019-05-03,Vente,368000.0,RUE DES SCANDINAVES,77449,Serris,1,Appartement,86.0,4.0,2.787996,48.858659,5,2019,4279.069767441861
2705944,2019-1130455,2019-05-06,Vente,234000.0,RUE DE VIENNE,77307,Montévrain,1,Appartement,62.0,3.0,2.7617,48.856367,5,2019,3774.1935483870966
2705980,2019-1130472,2019-04-26,Vente,382000.0,RUE DE MAGELLAN,77449,Serris,1,Appartement,80.0,4.0,2.788527,48.853794,4,2019,4775.0
2706016,2019-1130489,2019-05-07,Vente,304150.0,RUE DES ECURIES,77268,Magny-le-Hongre,1,Appartement,73.0,4.0,2.820026,48.870909,5,2019,4166.438356164384
2706055,2019-1130514,2019-05-13,Vente,225000.0,PL DE L EUROPE,77018,Bailly-Romainvilliers,1,Appartement,64.0,3.0,2.820184,48.850697,5,2019,3515.625
2706065,2019-1130519,2019-05-13,Vente,215000.0,RUE DE L EPINETTE,77268,Magny-le-Hongre,1,Appartement,49.0,2.0,2.815136,48.870075,5,2019,4387.755102040816
2706190,2019-1130562,2019-04-24,Vente,243000.0,RUE DE LA GALMY,77111,Chessy,1,Appartement,73.0,4.0,2.772307,48.856432,4,2019,3328.7671232876714
2706240,2019-1130588,2019-04-19,Vente,238000.0,RUE DE MAGELLAN,77449,Serris,1,Appartement,46.0,2.0,2.788527,48.853794,4,2019,5173.913043478261
2706394,2019-1130678,2019-05-10,Vente,293500.0,ALL DE DUBLIN,77307,Montévrain,1,Appartement,81.0,4.0,2.766132,48.854328,5,2019,3623.456790123457
2706436,2019-1130700,2019-05-09,Vente,415000.0,CRS DU TAGE,77449,Serris,1,Appartement,95.0,5.0,2.786913,48.854067,5,2019,4368.421052631579
2706439,2019-1130701,2019-05-06,Vente,200000.0,RUE DE L AUNETTE,77018,Bailly-Romainvilliers,1,Appartement,61.0,3.0,2.820184,48.850697,5,2019,3278.688524590164
2706620,2019-1130789,2019-05-23,Vente,243000.0,RUE DE PRAGUE,77307,Montévrain,1,Appartement,63.0,3.0,2.7628,48.853901,5,2019,3857.1428571428573
2706666,2019-1130814,2019-05-15,Vente,271000.0,RUE DU CLOS GIRARD,77111,Chessy,1,Appartement,85.0,4.0,2.772249,48.878729,5,2019,3188.235294117647
2706679,2019-1130822,2019-05-17,Vente,238000.0,RUE DE L EPINETTE,77268,Magny-le-Hongre,1,Appartement,60.0,3.0,2.815136,48.870075,5,2019,3966.6666666666665
2706686,2019-1130824,2019-05-15,Vente,289000.0,AV DE LA SOCIETE DES NATIONS,77307,Montévrain,1,Appartement,74.0,4.0,2.760877,48.857906,5,2019,3905.4054054054054
2706839,2019-1130903,2019-05-22,Vente,242000.0,RUE DE PRAGUE,77307,Montévrain,1,Appartement,61.0,3.0,2.76312,48.854849,5,2019,3967.2131147540986
2706885,2019-1130920,2019-05-13,Vente,90000.0,RUE D AMSTERDAM,77307,Montévrain,1,Appartement,21.0,1.0,2.76756,48.853979,5,2019,4285.714285714285
2706899,2019-1130927,2019-05-17,Vente,210000.0,AV DES FRENES,77307,Montévrain,1,Appartement,64.0,3.0,2.759956,48.871348,5,2019,3281.25
2706943,2019-1130950,2019-05-02,Vente,172000.0,BD ROBERT THIBOUST,77449,Serris,2,Appartement,44.0,2.0,2.790716,48.842257,5,2019,3909.090909090909
2707043,2019-1130980,2019-05-17,Vente,154000.0,AV DES FRENES,77307,Montévrain,1,Appartement,31.0,2.0,2.759956,48.871348,5,2019,4967.741935483871
2707052,2019-1130984,2019-05-24,Vente,120000.0,RUE DE VIENNE,77307,Montévrain,1,Appartement,21.0,1.0,2.760611,48.856017,5,2019,5714.285714285715
